id,Name,Latitude,Longitude,City,Address,Phone_number
bar0,Bar da Gigi,46.126493,11.246791,Baselga di Piné,"Fr. Miola, Via dei Caduti nr. 24",
bar1,Anesi Alessandro,46.13239,11.247135,Baselga di Piné,Via C. Battisti nr. 63,
bar2,Bel Bait,46.162608,11.131155,Giovo,"Fr. Palù, Loc. Santa Croce",+39 0461 684111  +39 0461 246480
bar3,BAR ESSO,46.150383,11.222351,Lases,via Nazionale n.59,
bar4,CAFFE' BREAK,46.145899,11.219779,Lases,via Nazionale n.46,
bar5,Bianco,46.134553,11.248063,Baselga di Piné,"Corso Roma, 121",
bar6,Alpino,46.131895,11.243409,Baselga di Piné,"Corso Roma, 3",
bar7,SWEET COFFEE,46.083337,11.199099,Civezzano,"FRAZIONE MOCHENA,     4/A",
bar8,Cafè Centro,46.157014,11.152638,Giovo,"Fraz. Verla,  Via principe umberto, 2",
bar9,QUASI BAR,46.088535,11.182719,Civezzano,"VIA MILANA,    12",
bar10,Due camini,46.126021,11.243774,Baselga di Piné,"Via del 26 Maggio, 65",
bar11,BAR SPORT,46.144968,11.192928,Albiano,via S.Antonio n.11,
bar12,BAR STELLA,46.147949,11.187904,Albiano,via S.Antonio n.82,
bar13,Linard,46.224065,11.312398,Sover,"Stradon di Sover, 25",
bar14,Bar Vico,46.175317,11.220597,Cembra,"Piazza Marconi, 6",
bar15,Serraia,46.134609,11.249133,Baselga di Piné,"Via della Serraia, 3",
bar16,Happy Ranch Saloon,46.194559,11.208489,Cembra,Loc. Lago Santo,
bar17,Bar piccolo paradiso,46.133806,11.257112,Baselga di Piné,Via Lido 27/1,+39 0461557273 
bar18,Al Bivio,46.130073,11.244584,Baselga di Piné,"Via C.Battisti, 28",
bar19,Gourmet Relais & Maso Franch,46.143058,11.118222,Giovo,"Maso Franch, 2",+39 0461 245533
bar20,Sport,46.132016,11.243678,Baselga di Piné,"Corso Roma, 7",
bar21,BAR GENZIANELLA ,46.154355,11.309748,Bedollo,"Fraz. Regnana, Via A.Diaz, 6",
bar22,BAR SPORT (ALBIANO),46.144957,11.192857,Albiano,"VIA S. ANTONIO, 7",+39 0461 689610
bar23,BAR AL LAGO DELLE BUSE,46.180313,11.32333,Bedollo,"Fraz. Brusago, Via S.G. Bosco, 9",
bar24,Lions' Cafè,46.131443,11.246644,Baselga di Piné,"Via C.Battisti, 40",
bar25,Bar al Portec,46.156111,11.153293,Giovo,"Fraz. Verla, Via principe umberto, 49",
bar26,Villa Anita,46.133233,11.248433,Baselga di Piné,"VIA DEL FÒSCH, 21",villanita@libero.it
bar27,Bar Spiaggia,46.149305,11.275168,Baselga di Piné,"Loc. Campolongo, nr. 158",
bar28,Bar Serraia,46.134713,11.249222,Baselga di Piné,"Loc. Sternigolago, nr. 69",
bar29,"Bar, tavola calda BAITA ALPINA",46.169799,11.302225,Bedollo,"Via Pec, 27",
bar30,Hotel Lagorai,46.1272,11.2466,Baselga di Piné,"VIA DEI CADUTI, 21",info@lagoraihotel.it
bar31,La capannina,46.143374,11.245858,Baselga di Piné,Loc. Bedolpian,
bar32,Fior di bosco ,46.1776,11.1674,Giovo,"Frazione Masen, 10",+39 0461 695008
bar33,Bar Commercio,46.06242232,11.24270439,Pergine Valsugana,"Via Battisti, 4",+39 (0461) 531107
bar34,Castel Pergine Est - Area di Servizio,46.04633994,11.23497963,Pergine Valsugana,Via della Campagna Granda - S. Cristoforo,+39 (0462) 532665
bar35,Bar Al Conte,46.01147871,11.30214214,Levico Terme,"Via Regia, 8",+39 (0461) 702302
bar36,Bar Cusso,46.05384564,11.45568252,Borgo Valsugana,Piazzale  Dante Alighieri,+39 (0461) 753029
bar37,PanCaffè snc,46.06762576,11.23966813,Pergine Valsugana,"Via Regensburger, 79",
bar38,City Caffè di Dall'Eva Evelyn,46.06051651,11.23961449,Pergine Valsugana,"Via Pennella, 12",
bar39,Bar Bistrò 29,46.05295215,11.45832181,Borgo Valsugana,"Via XX Settembre, 29",
bar40,Bar Blue Coffeee,45.99263854,11.26296043,Caldonazzo,"Viale Stazione, 12/a",
bar41,Daniela,46.06442485,11.24474287,Pergine Valsugana,"Via Spolverine, 12 ",+39 (0461) 533363
bar42,Bar Da Toni,45.99053651,11.66823149,Grigno,"Via Don A. Gonzo, 1 - Fraz. Tezze",
bar43,Bar Cuba,46.05834261,11.23744726,Pergine Valsugana,"Viale Venezia, 34",+39 (0461) 530301
bar44,Bar Commercio,46.10335169,11.21127963,Pergine Valsugana,"Via Pinetana, 21 - Nogarè",
bar45,White Cafè,46.06099297,11.24191046,Pergine Valsugana,"Via Tre Novembre, 15",+39 (0461) 532930
bar46,Ritrovo dei Sapori,46.05335422,11.4575386,Borgo Valsugana,Piazza Martiri ,+39 (0461) 757125
bar47,Bar bianco,46.06005121,11.23984516,Pergine Valsugana,"Via Roma, 24",+39 (0461) 510340
bar48,Bottega del Caffè Dersut,46.0612982,11.23850942,Pergine Valsugana,"Via Pennella, 38",
bar49,Bar Bazar,46.05917644,11.23725414,Pergine Valsugana,"Viale Venezia, 2/d",+39 (0461) 511052
bar50,Bar Da Carlo (Bar Bianco),46.05333933,11.4580965,Borgo Valsugana,"Via Fratelli, 1 ",+39 (0461) 752250
bar51,Bar Baltik,46.07187598,11.47215128,Telve di Sopra,Piazza Municipio,
bar52,Bar Adriano,46.00922091,11.30938411,Levico Terme,"Piazza Medici, 10",+39 (0461) 709922
bar53,Bar Dal Pozzo Debora,46.0505099,11.22150421,Pergine Valsugana,"Via alla Malga, 11",+39 (0461) 534897
bar54,Bar Centrale,46.06880186,11.60707712,Pieve Tesino,Piazza Vaon,
bar55,Bar Cantinota,46.05177571,11.45798922,Borgo Valsugana,"Via Fratelli, 15",+39 (0461) 753225
bar56,Bar Bocciodromo,46.05222247,11.45307541,Borgo Valsugana,Via della Fossa,+39 (0461) 752775
bar57,Dall'Ersilia,46.00319221,11.36973381,Borgo Valsugana,"Malga Costa, Val di Sella",+39 (0461) 761092
bar58,Bar 2000,46.05952077,11.23928189,Pergine Valsugana,"Via Verdi, 1",
bar59,Bar Vulcano,46.05168636,11.45655155,Borgo Valsugana,"Via Spagolla, 7",+39 (0461) 751162
bar60,Bar Centrale,45.99183352,11.26266003,Caldonazzo,"Via Roma, 5",
bar61,Cream Cafè - Miriam,46.0563622,11.46376133,Borgo Valsugana,Corso Vicenza,+39 (0461) 753192
bar62,L'incontro,46.06793839,11.22297406,Pergine Valsugana,"Viale Tamarisi, 2",
bar63,Bar Cacciatore di Carlin Sergio,46.06740989,11.25313282,Pergine Valsugana,"Via Lagorai,14",+39 (0461) 532588
bar64,Panetteria di Rovere Anita,46.06534048,11.23678207,Pergine Valsugana,"Via dei Prati, 32",+39 (0461) 512529
