name,latitude,longitude,city,id
Trento-Autostaz.,46.070785,11.118457,Trentino,bus_stop0
Trento Solteri Bivio Ss.12,46.084046,11.119728,Trentino,bus_stop1
Trento Bren Center,46.091322,11.11566,Trentino,bus_stop2
Lavis,46.138362,11.109135,Trentino,bus_stop3
S.Michele A/Adige,46.193685,11.13252,Trentino,bus_stop4
Salorno-Salurn,46.240611,11.208101,Trentino,bus_stop5
Laghetti-Laag,46.271949,11.23897,Trentino,bus_stop6
Egna-Neumarkt,46.315974,11.272446,Trentino,bus_stop7
Cela-Aguai Bivio,46.291366,11.418715,Trentino,bus_stop8
Castello di F.-Via Stazione,46.28207,11.428963,Trentino,bus_stop9
Castello di Fiemme,46.281012,11.434818,Trentino,bus_stop10
Cavalese-Bivio Carano,46.287418,11.441658,Trentino,bus_stop11
Cavalese Hotel Garden,46.28927,11.448063,Trentino,bus_stop12
Cavalese-P.Zza Partigiani,46.291892,11.455502,Trentino,bus_stop13
Cavalese Piazza G.Verdi,46.290336,11.460686,Trentino,bus_stop14
Cavalese Autostaz.,46.287909,11.463231,Trentino,bus_stop15
Tesero-Giardino Dolomiti,46.292467,11.484689,Trentino,bus_stop16
Tesero-Loc. Piera,46.292228,11.49212,Trentino,bus_stop17
Tesero,46.288879,11.510906,Trentino,bus_stop18
Panchià-Casa Cantoniera,46.286998,11.5321,Trentino,bus_stop19
Panchia',46.285515,11.54174,Trentino,bus_stop20
Ziano di Fiemme,46.286636,11.55967,Trentino,bus_stop21
Ziano di Fiemme-Alla Roda,46.288371,11.569359,Trentino,bus_stop22
Predazzo-Borgo Nuovo,46.30654,11.598949,Trentino,bus_stop23
Predazzo Autostaz.,46.309522,11.604922,Trentino,bus_stop24
Predazzo-Distributore Agip,46.31718,11.597105,Trentino,bus_stop25
Predazzo-Impianti Latemar,46.328662,11.600166,Trentino,bus_stop26
Mezzavalle,46.337924,11.610365,Trentino,bus_stop27
Forno,46.347286,11.625627,Trentino,bus_stop28
Forno-Albergo Foresta,46.354425,11.633768,Trentino,bus_stop29
Moena-Caserma Carabinieri,46.369234,11.652293,Trentino,bus_stop30
Moena-Albergo Trentino,46.372945,11.655268,Trentino,bus_stop31
Moena-Pezzè,46.38076,11.66557,Trentino,bus_stop32
Soraga-Hotel Al Lago,46.392163,11.666737,Trentino,bus_stop33
Soraga,46.396751,11.669549,Trentino,bus_stop34
Vigo di Fassa,46.421391,11.676166,Trentino,bus_stop35
S.Giovanni di Fassa,46.420879,11.681906,Trentino,bus_stop36
Pozza di Fassa,46.427263,11.682909,Trentino,bus_stop37
Pera di Fassa,46.435753,11.690473,Trentino,bus_stop38
Pera di Fassa-Loc. Al Ponte,46.441683,11.695465,Trentino,bus_stop39
Mazzin di Fassa,46.45796,11.701361,Trentino,bus_stop40
Campestrin,46.462705,11.714972,Trentino,bus_stop41
Fontanazzo,46.469689,11.727811,Trentino,bus_stop42
Campitello di Fassa,46.475648,11.740928,Trentino,bus_stop43
Canazei-Hotel Caminetto,46.479178,11.759193,Trentino,bus_stop44
Canazei-Gries,46.477902,11.763957,Trentino,bus_stop45
Canazei Via Pareda,46.476195,11.770866,Trentino,bus_stop46
Canazei-Fun. Belvedere,46.474085,11.774368,Trentino,bus_stop47
Canazei Rotatoria,46.471561,11.777812,Trentino,bus_stop48
Alba di Canazei-Hotel Ariston,46.466322,11.780889,Trentino,bus_stop49
Alba di Canazei,46.461951,11.782995,Trentino,bus_stop50
Alba di Canazei-Fun.Ciampac,46.459391,11.786084,Trentino,bus_stop51
Penia,46.457433,11.791831,Trentino,bus_stop52
Penia-Hotel Panarel,46.456575,11.801529,Trentino,bus_stop53
Penia Alta,46.458446,11.799736,Trentino,bus_stop54
Penia,46.457619,11.792331,Trentino,bus_stop55
Alba di Canazei-Fun.Ciampac,46.458437,11.789031,Trentino,bus_stop56
Alba di Canazei,46.462159,11.782943,Trentino,bus_stop57
Canazei Rotatoria,46.471443,11.777931,Trentino,bus_stop58
Canazei-Fun. Belvedere,46.474072,11.774719,Trentino,bus_stop59
Canazei-Gries,46.477768,11.764654,Trentino,bus_stop60
Canazei-Hotel Caminetto,46.479392,11.759629,Trentino,bus_stop61
Campitello di Fassa,46.476684,11.740902,Trentino,bus_stop62
Fontanazzo,46.46961,11.726986,Trentino,bus_stop63
Pozza di Fassa,46.427927,11.683273,Trentino,bus_stop64
Cavalese Via Esterle,46.293123,11.457258,Trentino,bus_stop65
Cavalese Hotel Garden,46.289338,11.447858,Trentino,bus_stop66
Laghetti-Laag,46.272133,11.23877,Trentino,bus_stop67
Salorno-Salurn,46.240219,11.207185,Trentino,bus_stop68
Lavis,46.13704,11.109579,Trentino,bus_stop69
Trento-Staz. Fs,46.072601,11.120053,Trentino,bus_stop70
Trento Assoc. Artigiani,46.082969,11.120306,Trentino,bus_stop71
Gardolo Via Bolzano,46.10856,11.10875,Trentino,bus_stop72
Gardolo Bivio Spini,46.119077,11.106058,Trentino,bus_stop73
Gardolo Loc.Lamar,46.129072,11.109727,Trentino,bus_stop74
Lavis Via Cembra 16,46.143209,11.106615,Trentino,bus_stop75
Lavis Via Bresadola,46.143939,11.112485,Trentino,bus_stop76
Lavis Tornante-Via Cembra 50,46.141936,11.11444,Trentino,bus_stop77
Maso Franch,46.143817,11.118837,Trentino,bus_stop78
Mosana Loc. Ai Castagnari,46.150493,11.125736,Trentino,bus_stop79
Mosana,46.1544,11.137227,Trentino,bus_stop80
Verla,46.157056,11.152525,Trentino,bus_stop81
