id,Name,Latitude,Longitude,City,Address,Phone_number,n_barpub
hotel0,MASO FRANCH GOURMET E RELAIS,46.1441,11.1186,Giovo,"Maso Franch, 2",+39 0461 245533,bar19
hotel1,ALBERGO VILLA ANITA,46.1335,11.2487,Baselga di Piné,"VIA DEL FÒSCH, 21",+39 0461 557106,bar26
hotel2,HOTEL TIROL NATURAL IDYLL,46.2173,11.3267,Sover,"VIA CAP. DOMENICO SANTUARI, 3",+39 0461 698377,bar117
hotel3,HOTEL PINETA,46.1549,11.286,Bedollo,Loc. Lago delle Piazze,+39 0461 556642,bar113
hotel4,R.T.A. MONTECHIARA,46.1494,11.2688,Baselga di Piné,"CAMPOLONGO, 120 Fraz. CAMPOLONGO",+39 0461 557140,bar111
hotel5,HOTEL FIOR DI BOSCO,46.1776,11.1674,Giovo,"FRAZIONE MASEN, 10",+39 0461 695008,bar32
hotel6,ALBERGO RISTORANTE LA SCARDOLA,46.1293,11.2446,Baselga di Piné,"VIA DEL 26 MAGGIO, 1-3 Fraz. MIOLA",+39 0461 557647,bar18
hotel7,HOTEL ALLA COMPARSA,46.094128,11.2339,Baselga di Piné,"FR. GUARDIA, 14",+39 0461 557707,bar99
hotel8,L'OST,46.222212,11.293956,Grumes,"Via Fontana, 20",+39 0461 685127,bar119
hotel9,Villa Fontana ***,46.077346,11.116822,Trento,"Via Felice e Gregorio Fontana, 11",+39 0461 829800,bar9
hotel10,Europa **,46.051386,11.072276,Trento,"Strada di Vaneze, 31",+39 0461 947183,bar9
hotel11,Buonconsiglio ****,46.072929,11.122554,Trento,"Via Romagnosi, 14",+39 0461 272888,bar9
hotel12,Le Blanc Hotel & Spa ****,46.041741,11.059603,Trento,"Strada di Vason, 64",+39 0461 947457,bar9
hotel13,Grand Hotel Trento ****,46.071057,11.121219,Trento,"Via Alfieri, 1/3",+39 0461 271000,bar9
hotel14,"Ostello della Gioventù ""Giovane Europa""",46.06997,11.119194,Trento,"Via Torre Vanga, 11",+39 0461 263484,bar9
hotel15,Everest ***,46.078611,11.11841,Trento,"Corso degli Alpini, 14",+39 0461 825300,bar9
hotel16,Karinhall ***,45.995601,11.126269,Trento,"Loc. I Grezzi, 17",+39 0461 945339,bar76
hotel17,Accademia ****,46.068788,11.120519,Trento,"Vicolo Colico, 4/6",+39 0461 233600,bar9
hotel18,Prada Sport *,46.038625,11.05827,Trento,"Strada di Vason, 87",+39 0461 948188,bar9
hotel19,Alpine Mugon ****,46.041015,11.059336,Trento,"Strada per Vason, 118",+39 0461 947116 - 0461 939063,bar9
hotel20,Venezia **,46.067268,11.121232,Trento,"Piazza Duomo, 45",+39 0461 234559,bar9
hotel21,Nevada **,46.039757,11.058471,Trento,"Strada di Vason, 61",+39 0461 948117,bar9
hotel22,Sporting Trento ***,46.051187,11.111769,Trento,"Via R. da Sanseverino, 125",+39 0461 391215,bar9
hotel23,San Giorgio della Scala ***,46.07352,11.103739,Trento,"Via Brescia, 133",+39 0461 238848,bar9
hotel24,Laghetto ***,46.001799,11.085583,Garniga Terme,"Via Bagni di Fieno, 19",+39 0461 842909,bar238
hotel25,Floriani ***,46.033933,11.004701,Lagolo,"Via Coste de Lagol, 9",+39 0461 564241,bar19
hotel26,Ideal ***,46.046988,10.952119,Madruzzo,"Piazza Valussi, 2",+39 0461 564131,bar19
hotel27,Miramonti ***,46.001956,11.085328,Garniga Terme,"Via dei Bagni di Fieno, 20",+39 0461 843243,bar238
hotel28,Dolomiti Chalet Family hotel ***,46.027558,11.045175,Trento,"Strada di Vason, 88",+39 0461 947158,bar9
hotel29,Terme San Leonardo ***,46.080888,11.043555,Trento,"Via per Vigolo Baselga, 8",+39 0461 866143,bar19
hotel30,Piccolo Principe ****,46.041486,11.004835,Lagolo,"Via Monte Bondone, 11",+39 0461 564250,bar19
hotel31,Relais Villa Madruzzo ****,46.074083,11.146586,Trento,"Via Ponte Alto, 20",+39 0461 986220,bar9
hotel32,Relais Vecchio Maso ****,46.068303,11.056526,Trento,"Str. Monastero S. Anna, 2",+39 0461 1922000,bar19
hotel33,Vela ***,46.081945,11.102854,Trento,"Via SS. Cosma e Damiano, 21",+39 0461 827200,bar9
hotel34,Sartoris ****,46.142265,11.103669,Lavis,"Via Nazionale, 33",+39 0461 246563,bar19
hotel35,Zodiaco ***,46.051062,11.072427,Trento,"Strada per Vaneze, 23",+39 0461 939242,bar9
hotel36,Bressan *,46.061551,10.990252,Pardegnone,"Via Nazionale, 15",+39 0461 864041,bar19
hotel37,Al Marinaio ***,46.035116,11.126162,Trento,"Via dei Marinai dItalia, 28",+39 0461 933053,bar238
hotel38,Albermonaco ***?,46.0731,11.126414,Trento,"Via Torre dAugusto, 25",+39 0461 983060,bar9
hotel39,America ***,46.071124,11.124129,Trento,"Via Torre Verde, 50",+39 0461 983010,bar9
hotel40,Miralaghi **,46.058905,10.97911,Pardegnone,"Via Nazionale, 114",+39 0461 864010,bar19
hotel41,Monte Bondone ***,46.097411,11.058246,Trento,"Via dei Falchi, 19",+39 0461 947118,bar19
hotel42,Due Laghi *,46.058938,10.978665,Pardegnone,"Via Nazionale, 117",+39 0461 864198,bar19
hotel43,Lillà ***?,46.098071,11.058179,Terlago,"Loc. Maso Travolt, 14",+39 0461 868027,bar19
hotel44,Chalet Caminetto ***,46.038109,11.055346,Trento,"Strada di Vason, 139",+39 0461 948090,bar9
hotel45,Vason **,46.039487,11.057727,Trento,"Strada di Vason, 100",+39 0461 948149,bar9
hotel46,Montana ***?,46.040801,11.058415,Trento,"Strada di Vason, 70",+39 0461 948200,bar9
hotel47,Vezzano **,46.077407,10.998532,Vezzano,"Via Roma, 156",+39 0461 864062,bar19
hotel48,Aquila d'Oro ****,46.067842,11.121495,Trento,"Via R. Belenzani, 76",+39 0461 986282,bar9
hotel49,Norge wellness resort ****,46.048775,11.066649,Trento,"Strada per il Norge, 3",+39 0461 947436,bar9
hotel50,Best Western ****,46.111387,11.092597,Trento,"Via Innsbruck, 11",+39 0461 966811,bar19
hotel51,Al Vecchio Mulino ***,46.076509,11.019952,Vezzano,"Loc. Naran, 1",+39 0461 864277,bar19
hotel52,Oasi *,46.099792,11.112011,Trento,"Via Bolzano, 14",+39 0461 992223 cell. 338 4040877,bar19
hotel53,Augustus **,46.051569,11.072813,Trento,"Strada di Vaneze, 33/35",+39 0461 948030,bar9
hotel54,Adige ****,46.01488,11.132218,Trento,"Via Pomeranos, 10",+39 0461 944545,bar76
hotel55,ALBERGO  AL CAMINETTO,46.1743,11.2235,Cembra,"Via C. Battisti, 7/9",+39 0461 683007,bar100
hotel56,ALBERGO 2 CAMINI,46.1258,11.2441,Baselga di Piné,"VIA DEL 26 MAGGIO, 65 Fraz. MIOLA",+39 0461 557200,bar10
hotel57,ALBERGO VILLA BETTY,46.126167,11.2353998,,"FRAZ. TRESSILLA, 32",+39 0461 557132,bar108
hotel58,ALBERGO ITALIA,46.1339,11.2485,,"VIA C.BATTISTI, 96/98",,bar26
hotel59,ALBERGO EUROPA,46.1716,11.2199,Cembra,"VIA SAN CARLO, 19",+39 0461 683032,bar90
