Name,Latitude,Longitude,City,Address,Phone_number,id
CANTINA PELZ,46.169333,11.217748,Cembra,"Loc. Cavade, 3",+39 0461 683051 +39 348 5900192 ,loc_sou0
Sottobosco,46.082876,11.200151,Civezzano,"Località Sille, 1",,loc_sou1
APICOLTURA GOCCE D'ORO,46.158166,11.288884,Bedollo,"Fraz. Piazze, Via G.Marconi, 35",,loc_sou2
DISTILLERIA GIACOMOZZI RENZO,46.186722,11.26064,Segonzano,"Loc. Stedro, 12",+39 0461 686100,loc_sou3
AZIENDA AGRICOLA ZANOTELLI ELIO & F.LLI,46.174803,11.221179,Cembra,"V.le 4 Novembre, 52 ",+39 0461 683131,loc_sou4
TORREFAZIONE TRIVENETA,46.16151,11.303131,Bedollo,"Fraz. Centrale, Via G.Verdi, 47",,loc_sou5
AZIENDA AGRICOLA BARONE A PRATO PAOLO,46.183138,11.251027,Segonzano,"Loc. Piazzo, 44 ",+39 0461 686241,loc_sou6
"AZIENDA AGRICOLA ""LE MANDRE""",46.168062,11.298557,Bedollo,"Franz. Bedollo, Via S.Osvaldo, 3/a",,loc_sou7
"AZIENDA AGRICOLA BIOLOGICA ""MOLINO DEI LESSI""",46.175217,11.131275,Lavis,"Maso Rosabel, 5 ",+39 0461 870275 ,loc_sou8
Az. Agricola Busarello,46.0786786365809,11.5522313117981,Bieno,"Via del Canton Borgo, 37",+39 (0461) 596330,loc_sou9
Enovalsugana Sas di Baldi Massimo,46.0698886147082,11.2212574481964,Pergine Valsugana,Loc. Fratte,+39 (0461) 533544,loc_sou10
Latte Trento,46.0722332536453,11.2359237670898,Pergine Valsugana,"Via Ponte Regio, 25",+39 (0461) 534830,loc_sou11
Cose Così,46.0116873495375,11.3011765480042,Levico Terme,"Via Regia, 28",+39 (0461) 701763,loc_sou12
Cantina Sociale di Trento Le Meridiane S.C.A.,46.032785,11.130995,Trento,Via dei Viticoltori 2-4,+39 0461920186,loc_sou13
Cantine Ferrari - F.lli Lunelli,46.043122,11.112756,Trento,"Via Ponte di Ravina, 15",+39 0461 972311,loc_sou14
