id,Name,Latitude,Longitude,City,Address,Phone_number,n_bus,n_bike
restaurant0,MASO CANTANGHEL,46.083546,11.174873,Civezzano,Loc. Forte di Civezzano,+39 0461 858714,bus_stop2593,bike_station64
restaurant1,MONTECROCE,46.1826,11.3259,Bedollo,"PIAZZA ROSMINI, 6 Fraz. BRUSAGO",+39 0461 556603,bus_stop190,bike_station28
restaurant2,EUROPA,46.1716,11.2199,Cembra,"VIA SAN CARLO, 19",+39 0461 683032,bus_stop1882,bike_station28
restaurant3,GIACOMOZZI,46.186722,11.26064,Segonzano,"Loc. Stedro, 12",+39 0461 686100,bus_stop238,bike_station28
restaurant4,HAPPY RANCH SALOON,46.194559,11.208489,Cembra,Loc. Lago Santo,+39 0461 683518  +39 347 9192665,bus_stop95,bike_station28
restaurant5,DA GIGI,46.126448,11.246784,Baselga di Piné,"Fr. Miola - Via dei Caduti, 24",+39 0461 557248,bus_stop823,bike_station0
restaurant6,ALPINO,46.131895,11.243409,Baselga di Piné,"Corso Roma, 3",+39 0461 557204,bus_stop177,bike_station0
restaurant7,TAVOLA CALDA DO SPAGHI,46.168389,11.247134,Segonzano,"Fr. Sevignano, 68",+39 328 0475981 +39 380 3689810,bus_stop236,bike_station28
restaurant8,EXTREME PIZZA,46.09015,11.181437,Civezzano,"Via Murialdo, 1/b",+39 0461 857160,bus_stop204,bike_station32
restaurant9,TALPA,46.12722,11.249635,Baselga di Piné,"Fr. Miola  Via della Cros, 7",+39 0461 557202,bus_stop823,bike_station0
restaurant10,HOTEL 2 PINI,46.123772,11.242033,Baselga di Piné,"VIA DEL 26 MAGGIO, 24 Fraz. VIGO DI BASELGA",+39 0461 557030,bus_stop835,bike_station30
restaurant11,BAITA ALPINA,46.169799,11.302225,Bedollo,"Loc. Pec, 27",+39 0461 556033,bus_stop508,bike_station28
restaurant12,SAUCH,46.214783,11.192523,Giovo,Loc. Sauch,+39 0461 683768  +39 335 5933061,bus_stop1814,bike_station5
restaurant13,TIROL,46.2173,11.3267,Sover,"Fr. Montesover, Via D. Santuari, 3",+39 0461 698377,bus_stop140,bike_station28
restaurant14,LA VECCHIA SEGHERIA,46.133657,11.24747,Baselga di Piné,"Vicolo delle Roge, 7",+39 0461 558651,bus_stop178,bike_station0
restaurant15,PIZZERIA BAR CENTRALE (BEDOLLO),46.160929,11.302517,Bedollo,"VIA VERDI, 46",+39 0461 556625,bus_stop185,bike_station28
restaurant16,ALLE PIRAMIDI,46.187355,11.2584,Stredro,"FRAZIONE SCANCIO, 24 Fraz. SCANCIO",+39 0461 686106,bus_stop238,bike_station28
restaurant17,AL LAGO,46.144035,11.218902,Lases,"Fr. Lases, Via Nazionale, 16",+39 0461 689207,bus_stop254,bike_station0
restaurant18,SERGIO,46.135142,11.249391,Baselga di Piné,"Viale della Serraia, 7/a",+39 0461 557124,bus_stop178,bike_station0
restaurant19,AL LIDO,46.14042,11.25674,Baselga di Piné,"Via del Lido, 1",+39 0461 557670,bus_stop179,bike_station28
restaurant20,OSTERIA DEL MAESTRO - Ristorante Albergo Lagorai,46.1272,11.2466,Baselga di Piné,"VIA DEI CADUTI, 21",+39 0461 557044,bus_stop823,bike_station0
restaurant21,LAGO SANTA COLOMBA,46.12445,11.1798,Civezzano,"LOCALITA' SANTA COLOMBA, 80/81 ",+39 0461 850122,bus_stop218,bike_station57
restaurant22,CA' DEI BOCI - Ristorante Romantik Hotel Posta 1899,46.098624,11.235974,Baselga di Piné,"VIA D. TARGA, 1 Fraz. MONTAGNAGA",+39 0461 558322,bus_stop831,bike_station68
restaurant23,Ristorante Carraro,46.0804201004719,11.5544682741165,Bieno,"Via A.G. Bettolo, 8",+39 (0461) 596309,bus_stop533,bike_station68
restaurant24,Prime Rose Al Belvedere,46.016217555207,11.2897825241089,Levico Terme,Loc. Belvedere,+39 (0461) 706416,bus_stop512,bike_station68
restaurant25,"Passo Brocon ""Da Sciopo""",46.119,11.6881,Castello Tesino,Loc. Passo Brocon,+39 (0461) 594364,bus_stop635,bike_station68
restaurant26,Villa Ester,46.0151893502917,11.2646341323853,Tenna,"Via Campolongo, 22",+39 (0461) 706539,bus_stop1163,bike_station68
restaurant27,La Cantina - LevicoLand,46.0075740782513,11.2923574447632,Levico Terme,"Via Traversa Lido, 5",+39 (0461) 700029,bus_stop559,bike_station68
restaurant28,Ristorante Mezzolago,46.0260664914701,11.2307095527649,Pergine Valsugana,"Fraz. Valcanover, 85",+39 (0461) 530158,bus_stop550,bike_station68
