name,latitude,longitude,address,city,n_bus,n_campsite,id
Trento Santa Chiara,46.05438,11.1354677,"Trento Santa Chiara, Via Gocciadoro, San Bartolomeo, Oltrefersina, Villazzano, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38128, Italia",Trento,bus_stop2143,natural_attractions24,train_station2
Gardolo,46.10806,11.1046112,"Gardolo, Via Aeroporto, Maso Rossi, Canova, Gardolo, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38121, Italia",Trento,bus_stop1658,natural_attractions41,train_station3
Caldonazzo,45.9974291,11.2649955,"Caldonazzo, Viale Trento, Caldonazzo, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38052, Italia",Caldonazzo,bus_stop637,natural_attractions24,train_station4
Calceranica,46.0073126,11.2407723,"Calceranica, Ciclabile della Valsugana, Calceranica al Lago, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38049, Italia",Calceranica,bus_stop2139,natural_attractions24,train_station5
Villazzano,46.0458891,11.1393028,"Villazzano, 15, Via Banala, Cernidor, Villazzano, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38128, Italia",Trento,bus_stop1925,natural_attractions24,train_station6
Levico Terme,46.0059194,11.3049369,"Levico Terme, Piazzale Stazione, Selva di Levico, Levico Terme, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38056, Italia",Levico Terme,bus_stop638,natural_attractions12,train_station7
Borgo Valsugana Centro,46.0513699,11.4540691,"Borgo Valsugana Centro, Piazza Peruzzo - Bordignon, Onea, Olle, Borgo Valsugana, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38051, Italia",Borgo Valsugana Centro,bus_stop2142,natural_attractions10,train_station8
Avio,45.7337382,10.9560297,"Avio, Via Generale Cantore, Vò Sinistro, Sabbionara, Avio, Comunità della Vallagarina, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38063, Italia",Avio,bus_stop2437,natural_attractions24,train_station9
Mori,45.8612938,11.0024377,"Mori, SS240, Rovereto, Comunità della Vallagarina, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38065, Italia",Mori,bus_stop2434,natural_attractions24,train_station10
Rovereto,45.8908227,11.0339061,"Rovereto, Strada Statale 12 del Brennero, San Giorgio, Rovereto, Comunità della Vallagarina, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38068, Italia",Rovereto,bus_stop3322,natural_attractions24,train_station11
