,name,address,city,latitude,longitude
0,Grazioli,Piazza Grazioli - Lavis,Lavis,46.13979665068481,11.111428140771086
1,Pressano,Piazza della Croce - Pressano,Lavis,46.15356728074421,11.106639504499894
2,Stazione RFI,Via Stazione - Lavis,Lavis,46.14811593255124,11.096781492233278
0,Borgata - Trento-Malè,Piazza San Gottardo,Mezzocorona,46.21425992031754,11.11867249384243
1,Cavalleggeri,"Via Cavalleggeri, 19",Mezzocorona,46.21604742113538,11.120071411726162
2,Stazione TN-Malè - RFI,Piazza Trento,Mezzocorona,46.20661229117257,11.127350324192488
0,Fiera,via Cavalleggeri Udine 1,Mezzolombardo,46.21610309842586,11.087624429371784
1,Ospedale San Giovanni,Via Carducci,Mezzolombardo,46.21245958241063,11.094517706968276
2,Stazione TN-MALE',"Via San Francesco, 4",Mezzolombardo,46.21346390439162,11.093116402922714
0,Baldresca,via Della Roggia,Rovereto,45.8805278,11.02875
1,Balista,Via Antonio Balista 10,Rovereto,45.896175282432274,11.03036572611154
2,Brione,Via Perosi / Via Puccini,Rovereto,45.90421911950808,11.044299836454002
3,Lizzana,P.za Guella / Via Montello,Rovereto,45.8675281353871,11.031902417860463
4,Marco,Via 2 novembre / via Alveo - Scuola,Rovereto,45.84133938920707,11.008448922615116
5,Mart,Via Bettini Museo Mart,Rovereto,45.89383120606002,11.043776690807364
6,Municipio,Via Calcinari fr. civ. 11,Rovereto,45.88700893072052,11.04421812261512
7,Noriglio,Via Noriglio / ex scuola D. Chiesa,Rovereto,45.88365364364294,11.070399481792492
8,Orvea,Via del Garda / Via dell’Industria,Rovereto,45.87202945143379,11.020309774135626
9,Ospedale,C.so Verona Park Ospedale Nuovo,Rovereto,45.88226500641319,11.040281016146878
10,P. Rosmini,P.za Rosmini 1,Rovereto,45.89102037579931,11.043363036887968
11,Piscina,Via Udine - zona est parcheggio,Rovereto,45.88445275840435,11.033651829062546
12,Quercia,Via Palestrina 3,Rovereto,45.90050916437712,11.036815184130887
13,Sacco,Via Vittoria / Via Unione,Rovereto,45.88477528345004,11.023286167216156
14,Stazione FF.SS.,P.le Orsi - Scuola,Rovereto,45.89125332494616,11.03489086508182
15,Stazione Mori,Stazione Mori,Rovereto,45.86117170669284,11.001933217048649
16,Via Paoli,Via Manzoni / Via Paoli,Rovereto,45.89177380040726,11.039904616532908
17,Villa Lagarina,Piazzetta Scrinzi,Rovereto,45.91594639958107,11.03168825939406
18,Zona Industriale,Via Caproni Park Laghiol - Luxottica,Rovereto,45.86630335827336,11.015673193887324
