,name,latitude,longitude,city
0,Trento-Autostaz.,46.070785,11.118457,Trentino
1,Trento Solteri Bivio Ss.12,46.084046,11.119728,Trentino
2,Trento Bren Center,46.091322,11.11566,Trentino
3,Lavis,46.138362,11.109135,Trentino
4,S.Michele A/Adige,46.193685,11.13252,Trentino
5,Salorno-Salurn,46.240611,11.208101,Trentino
6,Laghetti-Laag,46.271949,11.23897,Trentino
7,Egna-Neumarkt,46.315974,11.272446,Trentino
8,Cela-Aguai Bivio,46.291366,11.418715,Trentino
9,Castello di F.-Via Stazione,46.28207,11.428963,Trentino
10,Castello di Fiemme,46.281012,11.434818,Trentino
11,Cavalese-Bivio Carano,46.287418,11.441658,Trentino
12,Cavalese Hotel Garden,46.28927,11.448063,Trentino
13,Cavalese-P.Zza Partigiani,46.291892,11.455502,Trentino
14,Cavalese Piazza G.Verdi,46.290336,11.460686,Trentino
15,Cavalese Autostaz.,46.287909,11.463231,Trentino
16,Tesero-Giardino Dolomiti,46.292467,11.484689,Trentino
17,Tesero-Loc. Piera,46.292228,11.49212,Trentino
18,Tesero,46.288879,11.510906,Trentino
19,Panchià-Casa Cantoniera,46.286998,11.5321,Trentino
20,Panchia',46.285515,11.54174,Trentino
21,Ziano di Fiemme,46.286636,11.55967,Trentino
22,Ziano di Fiemme-Alla Roda,46.288371,11.569359,Trentino
23,Predazzo-Borgo Nuovo,46.30654,11.598949,Trentino
24,Predazzo Autostaz.,46.309522,11.604922,Trentino
25,Predazzo-Distributore Agip,46.31718,11.597105,Trentino
26,Predazzo-Impianti Latemar,46.328662,11.600166,Trentino
27,Mezzavalle,46.337924,11.610365,Trentino
28,Forno,46.347286,11.625627,Trentino
29,Forno-Albergo Foresta,46.354425,11.633768,Trentino
30,Moena-Caserma Carabinieri,46.369234,11.652293,Trentino
31,Moena-Albergo Trentino,46.372945,11.655268,Trentino
32,Moena-Pezzè,46.38076,11.66557,Trentino
33,Soraga-Hotel Al Lago,46.392163,11.666737,Trentino
34,Soraga,46.396751,11.669549,Trentino
35,Vigo di Fassa,46.421391,11.676166,Trentino
36,S.Giovanni di Fassa,46.420879,11.681906,Trentino
37,Pozza di Fassa,46.427263,11.682909,Trentino
38,Pera di Fassa,46.435753,11.690473,Trentino
39,Pera di Fassa-Loc. Al Ponte,46.441683,11.695465,Trentino
40,Mazzin di Fassa,46.45796,11.701361,Trentino
41,Campestrin,46.462705,11.714972,Trentino
42,Fontanazzo,46.469689,11.727811,Trentino
43,Campitello di Fassa,46.475648,11.740928,Trentino
44,Canazei-Hotel Caminetto,46.479178,11.759193,Trentino
45,Canazei-Gries,46.477902,11.763957,Trentino
46,Canazei Via Pareda,46.476195,11.770866,Trentino
47,Canazei-Fun. Belvedere,46.474085,11.774368,Trentino
48,Canazei Rotatoria,46.471561,11.777812,Trentino
49,Alba di Canazei-Hotel Ariston,46.466322,11.780889,Trentino
50,Alba di Canazei,46.461951,11.782995,Trentino
51,Alba di Canazei-Fun.Ciampac,46.459391,11.786084,Trentino
52,Penia,46.457433,11.791831,Trentino
53,Penia-Hotel Panarel,46.456575,11.801529,Trentino
54,Penia Alta,46.458446,11.799736,Trentino
55,Penia,46.457619,11.792331,Trentino
56,Alba di Canazei-Fun.Ciampac,46.458437,11.789031,Trentino
57,Alba di Canazei,46.462159,11.782943,Trentino
58,Canazei Rotatoria,46.471443,11.777931,Trentino
59,Canazei-Fun. Belvedere,46.474072,11.774719,Trentino
60,Canazei-Gries,46.477768,11.764654,Trentino
61,Canazei-Hotel Caminetto,46.479392,11.759629,Trentino
62,Campitello di Fassa,46.476684,11.740902,Trentino
63,Fontanazzo,46.46961,11.726986,Trentino
64,Pozza di Fassa,46.427927,11.683273,Trentino
65,Cavalese Via Esterle,46.293123,11.457258,Trentino
66,Cavalese Hotel Garden,46.289338,11.447858,Trentino
67,Laghetti-Laag,46.272133,11.23877,Trentino
68,Salorno-Salurn,46.240219,11.207185,Trentino
69,Lavis,46.13704,11.109579,Trentino
70,Trento-Staz. Fs,46.072601,11.120053,Trentino
71,Trento Assoc. Artigiani,46.082969,11.120306,Trentino
72,Gardolo Via Bolzano,46.10856,11.10875,Trentino
73,Gardolo Bivio Spini,46.119077,11.106058,Trentino
74,Gardolo Loc.Lamar,46.129072,11.109727,Trentino
75,Lavis Via Cembra 16,46.143209,11.106615,Trentino
76,Lavis Via Bresadola,46.143939,11.112485,Trentino
77,Lavis Tornante-Via Cembra 50,46.141936,11.11444,Trentino
78,Maso Franch,46.143817,11.118837,Trentino
79,Mosana Loc. Ai Castagnari,46.150493,11.125736,Trentino
80,Mosana,46.1544,11.137227,Trentino
81,Verla,46.157056,11.152525,Trentino
82,Verla-Cantina Rossi,46.154874,11.155404,Trentino
83,Valternigo,46.16079,11.158786,Trentino
84,Ville di Giovo,46.165786,11.157337,Trentino
85,Ville di Giovo-Maso Roncador,46.162213,11.140582,Trentino
86,Passo Croce,46.161488,11.134618,Trentino
87,Palu' di Giovo,46.158216,11.140399,Trentino
88,Verla-Bivio,46.155899,11.160677,Trentino
89,Ceola,46.159677,11.171449,Trentino
90,Lisignago,46.160169,11.187697,Trentino
91,Lisignago Loc.Bedin,46.164967,11.203561,Trentino
92,Cembra-Cimitero,46.17452,11.217344,Trentino
93,Cembra,46.174957,11.22171,Trentino
94,Fadana,46.177556,11.225067,Trentino
95,Cembra-Loc.Molini,46.180272,11.228393,Trentino
96,Faver Bivio,46.18096,11.231877,Trentino
97,Faver,46.181717,11.23779,Trentino
98,Faver-Ufficio Postale,46.183756,11.24075,Trentino
99,Faver Loc. Portegnago,46.197033,11.246629,Trentino
100,Valda-Capitello,46.20707,11.262063,Trentino
101,Valda,46.206785,11.266459,Trentino
102,Grumes,46.221664,11.293926,Trentino
103,Grauno,46.229416,11.29825,Trentino
104,Capriana-Case Nuove,46.261034,11.339907,Trentino
105,Capriana,46.26279,11.33945,Trentino
106,Capriana Albergo Miravalle,46.262058,11.343987,Trentino
107,Carbonare-Rover,46.266759,11.35174,Trentino
108,Stramentizzo Bivio,46.266506,11.406481,Trentino
109,Molina di Fiemme-Scuole,46.272943,11.417691,Trentino
110,Molina di F. Via Segherie,46.272417,11.424248,Trentino
111,Molina di Fiemme Chiesa,46.274183,11.416701,Trentino
112,Castello di Fiemme-Conc.Fiat,46.278943,11.430131,Trentino
113,Castello di Fiemme,46.281234,11.434746,Trentino
114,Molina di Fiemme Via Segherie,46.27241,11.424118,Trentino
115,Grumes,46.221406,11.294187,Trentino
116,Faver,46.18119,11.236667,Trentino
117,Fadana,46.178186,11.225986,Trentino
118,Cembra,46.175121,11.22204,Trentino
119,Lisignago,46.160228,11.187881,Trentino
120,Ceola,46.15959,11.170862,Trentino
121,Verla,46.157152,11.152806,Trentino
122,Lavis Via Bresadola,46.143962,11.112741,Trentino
123,Lavis Via Cembra 16,46.142758,11.105019,Trentino
124,Lamar di Gardolo-Ss.12-Ftm,46.125857,11.107857,Trentino
125,Gardolo-Ss.12,46.108391,11.108627,Trentino
126,Gardolo Cicli Moser,46.102642,11.110465,Trentino
127,Casatta di Valfloriana,46.250382,11.344527,Trentino
128,Barcatta,46.250423,11.349653,Trentino
129,Villaggio Italo-Svizzero,46.247856,11.346655,Trentino
130,Dora',46.251864,11.355629,Trentino
131,Palu' di Sicina,46.256918,11.363011,Trentino
132,Casanova di Sicina,46.241994,11.349804,Trentino
133,Valle,46.238606,11.351276,Trentino
134,Montalbiano,46.234427,11.355128,Trentino
135,Sicina,46.230006,11.358746,Trentino
136,Trento Via Giusti,46.062657,11.119007,Trentino
137,Trento Via V.Veneto,46.057701,11.119288,Trentino
138,Trento Via Lorenzoni,46.05838,11.12296,Trentino
139,Trento Via S.Francesco,46.066636,11.126199,Trentino
140,Montesover,46.217085,11.327081,Trentino
141,Montesover-Strada Vernera,46.218167,11.326636,Trentino
142,Montesover-Strada Vernera 17,46.21739,11.32414,Trentino
143,Montesover-Carrozzeria,46.215298,11.328098,Trentino
144,Sveseri Bivio,46.207641,11.327802,Trentino
145,Piazzoli,46.21426,11.323606,Trentino
146,Facendi,46.214916,11.321416,Trentino
147,Sover,46.223892,11.312413,Trentino
148,Nave S.Felice,46.164603,11.112264,Trentino
149,Sorni Bivio,46.174975,11.122027,Trentino
150,Sorni,46.173837,11.120534,Trentino
