index,Name,Latitude,Longitude,City,Address,Phone_number
0,Sanseverino,46.065855,11.114854,Trento,piazzale San Severino,
1,CTE Trento Fiere,46.065133,11.116581,Trento,via Bomporto,
2,Piazza Fiera,46.065676,11.125497,Trento,Piazza di Fiera,0461/231225
3,Palazzo Onda,46.09139,11.117187,Trento,via zambra,0461/231600
4,Duomo,46.066547,11.115186,Trento,Piazza Mosna,0461/231600
5,Monte Baldo,46.057323,11.113609,Trento,via Monte Baldo,
6,viale Dolomiti - Cavalese,46.290531,11.465401,Cavalese,Viale Dolomiti,
7,campo sportivo - Daiano,46.309922,11.446894,Ville di Fiemme,Località Pozzal,
8,"seggiovia Castelir, Le Fassane 1 - Bellamonte",46.312575,11.686351,Predazzo,Località Castelir,
9,via Weber- Molina,46.274078,11.416885,Castello-Molina di Fiemme,Via Weber,
10,Area ex Zuffo,46.07658,11.111152,Trento,area ex Zuffo (uscita casello A22 trento centro),
11,via Cermis - Cavalese,46.285676,11.46529,Cavalese,Via Cermis,
12,via Barbieri - Predazzo,46.30818,11.598246,Predazzo,Via Barbieri,
13,via Alpini (2) - Varena,46.305379,11.458331,Varena,Via Alpini,
14,via al Cervo - Daiano,46.301221,11.452248,Ville di Fiemme,Via al Cervo,
15,piazzza Italia - Molina,46.273262,11.416435,Castello-Molina di Fiemme,Piazza Italia,
16,"seggiovie Agnello, Latemar - Pampeago",46.34086,11.538218,Tesero,Località Pampeago,
17,via Segherie (1) - Molina,46.272536,11.417111,Castello-Molina di Fiemme,Via Segherie,
18,via Roma - Castello,46.279996,11.434202,Castello-Molina di Fiemme,Via Roma,
19,parco della Pieve - Cavalese,46.288507,11.461356,Cavalese,Via Bresadola,
20,Ghiaie (via Fersina),46.046029,11.120556,Trento,via Fersina,
21,corso De Gasperi - Predazzo,46.312938,11.59993,Predazzo,Corso Degasperi,
22,piazza Autostazione - Cavalese,46.287856,11.462801,Cavalese,Piazza Autostazione,
23,Centro Europa,46.075241,11.122385,Trento,via Giovanni Segantini 7,0461/987330
24,Cimon - Passo Rolle,46.29628,11.785378,Primiero San Martino di Castrozza,"Via Passo Rolle, Fraz Siror ",
25,via Giovanelli (2) - Carano,46.292748,11.443278,Ville di Fiemme,Via Giovanelli,
26,via Giovanelli (1) - Carano scuole elementari,46.29197,11.440414,Ville di Fiemme,Via Giovanelli,
27,via Venezia - Predazzo,46.311308,11.616935,Predazzo,Via Venezia,
28,malga Varena - Passo Lavazè,46.352304,11.486312,Varena,Passo di Lavazé,
29,piazza Chiesa - Tesero,46.288181,11.513048,Tesero,Piazza Chiesa,
30,via Tresselume - Lago,46.283125,11.524775,Tesero,Via Tresselume,
31,piazza Pasquai - Cavalese,46.290443,11.456482,Cavalese,Piazza Pasquai,
32,via Azzole - Bellamonte,46.312805,11.665258,Predazzo,Via Azzole,
33,malga Daiano - Passo Lavazè,46.35691,11.495324,Varena,Passo di Lavazé,
34,via Cesure - Castello,46.281145,11.432893,Castello-Molina di Fiemme,Via Cesure,
35,via Cerino - Tesero,46.29724,11.504755,Tesero,Località Cerin,
36,via Rossini - Cavalese,46.289701,11.466345,Cavalese,Via Rossini,
37,ss48 - Panchià,46.285475,11.552476,Panchià,Via Nazionale,
38,via Verdi (2) - Ziano,46.286031,11.567239,Ziano di Fiemme,Via Verdi,
39,via Pillocco - Cavalese,46.285935,11.455949,Cavalese,Via Pillocco,
40,campo sportivo - Tesero,46.299701,11.504313,Tesero,Località Cerin,
41,via Alpini (1) - Varena,46.304452,11.456722,Varena,Via Alpini,
42,via IX Novembre - Cavalese,46.292638,11.45705,Cavalese,Via IX Novembre,
43,ITC - Predazzo,46.310908,11.598804,Predazzo,Corso Degasperi,
44,campo sportivo - Panchià,46.28509,11.549247,Panchià,Via Nazionale,
45,via Borno - Castello,46.282094,11.432882,Castello-Molina di Fiemme,Via Borno,
46,Autosilo,46.07268,11.124016,Trento,via F. Petrarca 1/5,0461/238855
47,piazza Mich - Carano,46.291577,11.438644,Ville di Fiemme,Piazza Mich,
48,parco giochi - Daiano,46.29999,11.44992,Ville di Fiemme,Via San Tommaso,
49,via Costa - Panchià,46.289286,11.539087,Panchià,Via Costa,
50,via Arestiezza - Tesero,46.290502,11.514164,Tesero,Via Arestiezza,
51,piazza SS. Filippo e Giacomo - Predazzo,46.312516,11.602623,Predazzo,Piazza S.S. Filippo e Giacomo,
52,via Cristel - Molina,46.277578,11.414021,Castello-Molina di Fiemme,Via Cristel,
53,via Val di Fiemme - Carano,46.290509,11.431305,Ville di Fiemme,Via Val di Fiemme,
54,via Val dell'Osta - Carano,46.292659,11.436766,Ville di Fiemme,Via Val dell'Osta,
55,via Cavour - Predazzo,46.31173,11.600188,Predazzo,Via Cavour,
56,via Coltura - Carano,46.290724,11.44065,Ville di Fiemme,Via Coltura,
57,Ex Sit,46.068348,11.115422,Trento,via Canestrini,
58,piazza Municipio - Castello,46.280908,11.434792,Castello-Molina di Fiemme,Piazza Municipio,
59,campo sportivo - Cavalese,46.284489,11.453664,Cavalese,Campo sportivo,
60,via Libertà - Carano,46.292489,11.436165,Ville di Fiemme,Via Libertà,
61,piazza Degasperi - Daiano,46.300643,11.447924,Ville di Fiemme,Piazza Degasperi,
62,via Cece - Bellamonte,46.310982,11.661793,Predazzo,Via Cece,
63,via Coltura - Daiano,46.298782,11.446336,Ville di Fiemme,Via Coltura,
64,via Sottopedonda (2) - Tesero,46.286928,11.509797,Tesero,Via Sottopedonda,
65,campo sportivo - Castello,46.282502,11.440049,Castello-Molina di Fiemme,Via Dolomiti,
66,via Latemar - Castello,46.281886,11.435296,Castello-Molina di Fiemme,Via Latemar,
67,ospedale - Cavalese,46.289101,11.454984,Cavalese,Via Dossi 17,
68,via Stava - Tesero,46.294475,11.506589,Tesero,Via Stava,
69,passo - Passo Lavazè,46.354792,11.491451,Varena,Passo di Lavazé,
70,area festa campestre - Masi di Cavalese,46.283896,11.486258,Cavalese,"Località Giaroni, Masi di Cavalese",
71,via S. Leonardo - Tesero,46.292259,11.508317,Tesero,Via San Leonardo,
72,centro fondo - Passo Lavazè,46.354615,11.493069,Varena,Passo di Lavazé,
