,index,Name,Latitude,Longitude,City,Address,Phone_number,n_bike,n_bus,n_barpub
0,0,MASO FRANCH GOURMET E RELAIS,46.1441,11.1186,Giovo,"Maso Franch, 2",+39 0461 245533,Grazioli,Maso Franch,Gourmet Relais & Maso Franch
1,1,ALBERGO VILLA ANITA,46.1335,11.2487,Baselga di Piné,"VIA DEL FÒSCH, 21",+39 0461 557106,Grazioli,Baselga di Pine'-Lago,Villa Anita
2,2,HOTEL TIROL NATURAL IDYLL,46.2173,11.3267,Sover,"VIA CAP. DOMENICO SANTUARI, 3",+39 0461 698377,Mach,Montesover,Tirol - Natural Idill
3,3,HOTEL PINETA,46.1549,11.286,Bedollo,Loc. Lago delle Piazze,+39 0461 556642,Mach,Piazze di Bedollo,ALBERGO PINETA 
4,4,R.T.A. MONTECHIARA,46.1494,11.2688,Baselga di Piné,"CAMPOLONGO, 120 Fraz. CAMPOLONGO",+39 0461 557140,Mach,Campolongo,Montechiara
5,5,HOTEL FIOR DI BOSCO,46.1776,11.1674,Giovo,"FRAZIONE MASEN, 10",+39 0461 695008,Mach,Ville di Giovo,Fior di bosco 
6,6,ALBERGO RISTORANTE LA SCARDOLA,46.1293,11.2446,Baselga di Piné,"VIA DEL 26 MAGGIO, 1-3 Fraz. MIOLA",+39 0461 557647,Grazioli,Baselga Municipio,Al Bivio
7,7,HOTEL ALLA COMPARSA,46.094128,11.2339,Baselga di Piné,"FR. GUARDIA, 14",+39 0461 557707, Cimitero Villazzano,Montagnaga,Hotel Belvedere Wellness & Family
8,8,L'OST,46.222212,11.293956,Grumes,"Via Fontana, 20",+39 0461 685127,Mach,Grumes,Stella Alpina
9,9,Villa Fontana ***,46.077346,11.116822,Trento,"Via Felice e Gregorio Fontana, 11",+39 0461 829800, Campo CONI,F.Lli Fontana Oberziner,QUASI BAR
10,10,Europa **,46.051386,11.072276,Trento,"Strada di Vaneze, 31",+39 0461 947183, Muse,Vaneze,QUASI BAR
11,11,Buonconsiglio ****,46.072929,11.122554,Trento,"Via Romagnosi, 14",+39 0461 272888, Vannetti,Romagnosi Vannetti,QUASI BAR
12,12,Le Blanc Hotel & Spa ****,46.041741,11.059603,Trento,"Strada di Vason, 64",+39 0461 947457, Muse,Vason-Sp85 Al Km 17,QUASI BAR
13,13,Grand Hotel Trento ****,46.071057,11.121219,Trento,"Via Alfieri, 1/3",+39 0461 271000, Biblioteca,"Piazza Dante ""Pal. Regione""",QUASI BAR
14,14,"Ostello della Gioventù ""Giovane Europa""",46.06997,11.119194,Trento,"Via Torre Vanga, 11",+39 0461 263484, Stazione Autocorriere,Cavalcavia S.Lorenzo,QUASI BAR
15,15,Everest ***,46.078611,11.11841,Trento,"Corso degli Alpini, 14",+39 0461 825300, Campo CONI,Degli Alpini Oberziner,QUASI BAR
16,16,Karinhall ***,45.995601,11.126269,Trento,"Loc. I Grezzi, 17",+39 0461 945339, Mattarello,Mattarello-Ex St.Vestimenta,Bar Smile
17,17,Accademia ****,46.068788,11.120519,Trento,"Vicolo Colico, 4/6",+39 0461 233600, Stazione Autocorriere,Trento Via Rosmini,QUASI BAR
