,index,Name,Latitude,Longitude,City,Address,Phone_number,n_bus,n_bike,n_skiing
0,0,MASO CANTANGHEL,46.083546,11.174873,Civezzano,Loc. Forte di Civezzano,+39 0461 858714,Civezzano-Via Fersina Avisio, Gorizia,Paganella/Andalo
1,1,MONTECROCE,46.1826,11.3259,Bedollo,"PIAZZA ROSMINI, 6 Fraz. BRUSAGO",+39 0461 556603,Brusago,Mach,Alpe Cermis-Cavalese
2,2,EUROPA,46.1716,11.2199,Cembra,"VIA SAN CARLO, 19",+39 0461 683032,Cembra-Polo Scolastico,Mach,Paganella/Andalo
3,3,GIACOMOZZI,46.186722,11.26064,Segonzano,"Loc. Stedro, 12",+39 0461 686100,Scancio di Segonzano,Mach,Paganella/Andalo
4,4,HAPPY RANCH SALOON,46.194559,11.208489,Cembra,Loc. Lago Santo,+39 0461 683518  +39 347 9192665,Cembra-Loc.Molini,Mach,Paganella/Andalo
5,5,DA GIGI,46.126448,11.246784,Baselga di Piné,"Fr. Miola - Via dei Caduti, 24",+39 0461 557248,Miola,Grazioli,Paganella/Andalo
6,6,ALPINO,46.131895,11.243409,Baselga di Piné,"Corso Roma, 3",+39 0461 557204,Baselga Municipio,Grazioli,Paganella/Andalo
7,7,TAVOLA CALDA DO SPAGHI,46.168389,11.247134,Segonzano,"Fr. Sevignano, 68",+39 328 0475981 +39 380 3689810,Sevignano,Mach,Paganella/Andalo
8,8,EXTREME PIZZA,46.09015,11.181437,Civezzano,"Via Murialdo, 1/b",+39 0461 857160,Civezzano, Piazza di Centa,Paganella/Andalo
9,9,TALPA,46.12722,11.249635,Baselga di Piné,"Fr. Miola  Via della Cros, 7",+39 0461 557202,Miola,Grazioli,Paganella/Andalo
10,10,HOTEL 2 PINI,46.123772,11.242033,Baselga di Piné,"VIA DEL 26 MAGGIO, 24 Fraz. VIGO DI BASELGA",+39 0461 557030,Miola-Bivio Ferrari/Miola, Bren Center,Paganella/Andalo
