,Name,City,latitude,longitude,n_bus,n_restaurant,n_barpubs,n_natural
0,San Martino di Castrozza,San Martino di Castrozza,46.26442326,11.80505414,S.Martino di C.-Im.Col Verde,PIZZERIA HOTEL CANADA,SPORTING,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO
1,Carezza,San Giovanni di Fassa,46.40847201,11.59154633,Soraga-Hotel Al Lago,STALA DEL NONO,SKI BAR SCUOLA DI SCI,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO
2,Latemar-Obereggen/Pampeago/Predazzo,Predazzo,46.35601994,11.53954883,Stava,STALA DEL NONO,SPORT HOTEL PAMPEAGO,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO
3,Madonna di Campiglio,Madonna di Campiglio,46.22823291,10.83001901,M.Campiglio Des Alpes,IL GIARDINO DELLE SPEZIE,Gourmet Relais & Maso Franch,Sentiero Mancabrot e del lac de Montesel
4,Passo San Pellegrino,Moena,46.38407194,11.78324761,P.So S.Pellegrino-Segg.Cost.,PIZZERIA HOTEL CANADA,LATEMAR STUBE,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO
5,Ponte di Legno/Tonale,Vermiglio,46.25511653,10.50898295,Tonale-Colonia Vigili,IL GIARDINO DELLE SPEZIE,Gourmet Relais & Maso Franch,Sentiero Mancabrot e del lac de Montesel
6,Belvedere/Col Rodella,Canazei,46.47462599,11.80237104,Penia Alta,PIZZERIA HOTEL CANADA,LATEMAR STUBE,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO
7,Paganella/Andalo,Andalo,46.14400126,11.03671221,Andalo-Maso Toscana,LILLÀ,Gourmet Relais & Maso Franch,Sentiero Mancabrot e del lac de Montesel
8,Alpe Lusia-Moena/Bellamonte,Moena,46.36845201,11.68737043,Alpe Lusia,PIZZERIA HOTEL CANADA,LATEMAR STUBE,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO
9,Folgaria/Fiorentini,Folgaria,45.89405692,11.18961635,Mezzaselva,Due Spade,Bar Centrale,Ecomuseo dell'Argentario
10,Alpe Cermis-Cavalese,Cavalese,46.28421737,11.47136195,Cavalese-Case Itea,PIZZERIA RISTORANTE EL CALDERON,OLIMPIA SKI BAR,Itinerario Malga Vernera - Rifugio Vasoni
11,Monte Bondone,Trento,45.98921855,11.03054066,Finestrella,RIFUGIO VIOTE,QUASI BAR,Ecomuseo dell'Argentario
12,Catinaccio-Vigo di Fassa,Vigo di Fassa,46.42148418,11.67129597,Vigo di Fassa,PIZZERIA BARCOLLO,LATEMAR STUBE,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO
13,Pejo 3000,Peio Fonti,46.37044658,10.65978295,Peio Area Faunistica,Stube Valzurg,Bel Bait,Roccolo del Sauch
14,Lavarone,Lavarone,45.94969527,11.26431147,Bertoldi,Due Spade,Bar Centrale,Ecomuseo dell'Argentario
15,Passo Rolle,San Martino di Castrozza,46.30076944,11.78307594,Passo Rolle-Albergo Venezia,PIZZERIA HOTEL CANADA,SPORTING,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO
16,Lagorai/Passo Brocon-Castello Tesino,Castello Tesino,46.11587055,11.66048875,Ronco Chiesa,Chalet Heidi,Bar Al Ponte,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO
